BOOK FILENAME                                                                                                                   DIAGRAMS
=========================================================================================================================================
unknown_author_2019_franco_masetti_roberto_messa_chess_exercises_for_beginners_new_in_chess.epub                                    2062
unknown_author_0000_chess_exercises_for_beginners_the_tactics_workbook_that_explains.epub                                           2062
unknown_author_2019_franco_masetti_roberto_messa_richard_jones_chess_exercises_for_beginners_the_tactics_workbook_that_explains_the_basic_concepts_too_new_in_chess.epub       2034
geller_2000_check_and_mate_a_beginners_guide_with_examples.epub                                                                     2007
cicero_2019_checkmate_exercises_from_beginner_to_winner2.epub                                                                       2002
cicero_2018_checkmate_exercises_from_beginner_to_winner1.epub                                                                       2001
willemze_2022_chess_endgame_exercises_for_beginners_nic.epub                                                                        1260
willemze_0000_chess_endgame_exercises_for_beginners.epub                                                                            1252
curtis_0000_chess_4_books_in_1_getting_started_from_a_beginner_learn_successful_openings_develop_advanced_strategy_and_win_your_games.epub       1194
levy_2023_how_to_win_at_chess_the_ultimate_guide_for_beginners_and_beyond_ten_speed_press.epub                                      1076
alberston_2007_51_chess_openings_for_beginners_cardoza.epub                                                                          750
yaroslav_2014_chess_training_for_postbeginners_new_in_chess.epub                                                                     528
srokovski_0000_chess_training_for_postbeginners.epub                                                                                 528
unknown_author_2018_international_master_arthur_van_de_oudeweetering_chess_pattern_recognition_for_beginners_the_fundamental_guide_to_spotting_key_moves_in_the_middlegame_new_in_chess.epub        475
unknown_author_2018_arthur_van_de_oudeweeterig_chess_pattern_recognition_for_beginners_new_in_chess.epub                             475
vincent_2016_my_first_chess_opening_repertoire_for_white_a_turnkey_package_for_ambitious_beginners_new_in.epub                       467
unknown_author_0000_henry_bird_edward_lasker_josé_raul_capablanca_chess_strategy_a_complete_guide_for_beginners_to_chess_fundamentals.epub        151
cicero_2017_checkmate_exercises_for_beginners_sampler_edition.epub                                                                   100
unknown_author_0000_chess_the_ultimate_guide_for_beginners_a_comprehensive_and_simplified.epub                                        92
lars_0000_chess_for_beginners_the_ultimate_guide_to_understanding_chess.epub                                                          89
fabiano_0000_chess_for_beginners_a_complete_guide_to_lead_you_to_victory_chess_fundamentals_rules_strategies_and_secrets_for_the_success_of_every_game.epub         63
chester_0000_chess_opening_for_beginners_the_complete_guide_to_chess_openings_tactics_and_strategies_to_become_a_grandmaster_of_chess.epub         35
samuel_0000_chess_for_beginners_the_original_stepbystep_guide_to_learn_everything_about_chess.epub                                    30
tommy_0000_chess_openings_for_beginners_the_complete_manual_to_learn_the_fundamentals_the_strategy_and_the_best_moves_at_the_start_of_the_game.epub         23
arthur_0000_chess_for_beginners_the_complete_guide_to_learn_the_rules_and_how_to_apply_the_right_strategiesit_includes_strong_openings_and_powerful_tactics.epub         16
jack_0000_chess_for_beginners_learn_the_wonderful_game_of_the_chess_board_with_strategies_rules_and_techniques_to_win_easily.epub          0
ingram_2016_chess_the_complete_beginner_s_guide_createspace_independent.epub                                                           0
=========================================================================================================================================
TOTAL:                                                                                                                                27 books
TOTAL DIAGRAMS:                                                                                                                    20772 diagrams
