# Duplicate books to delete (keeping highest diagram count per group)
# Total: 32 books to delete
# Format: filename|diagram_count

avrukh_2019_grandmaster_repertoire02b_1_d4_dynamic_systems_quality_chess_no_dg.epub|1900
boekelman_0000_beat_the_dutch_defense.epub|524
boekelman_0000_the_modernized_king_s_indian_averbakh_variation.epub|784
boekelman_0000_the_modernized_o_kelly_sicilian.epub|770
davies_2009_play_the_catalan_everyman.epub|342
delchev_0000_delchev_s_practical_opening_repertoire_volume_1.epub|800
dvoretsky_s_0000_5th_edition.epub|1222
engqvist_0000_300_most_important_tactical_chess_positions.epub|500
engqvist_0000_the_carokann_the_easy_way.epub|535
engqvist_2025_ulf_the_attacker_nic.epub|440
franco_0000_attacking_chess_in_the_21st_century.epub|268
franco_0000_your_second_chess_book.epub|319
frank_2019_chess_exercises_for_club_players_the_tactics_workbook_that_also_explains_all_key_concepts.epub|1094
gawain_2021_coffeehouse_repertoire_1e4_volume_1_quality_chess_uk_llp.epub|1143
herman_2016_attacking_chess_for_club_players_improve_your_skills_to_overpower_your_opponent_new_in_chesscsi.epub|690
katz_2022_chess_bootcamp_beyond_the_basics_everyman.epub|562
kuljasevic_2023_ding_liren_s_best_games_nic.epub|505
lakdawala_2012_1d6_move_by_move_everyman.epub|421
moskalenko_2019_an_attacking_repertoire_for_white_with_1d4_nic_no_dg.epub|859
naiditsch_2016_most_instructive_endgames_of_chess_evolution_with_balogh_csaba.epub|393
pavlovic_2025_battling_the_aggressive_italian_game_thinkers.epub|462
pavlovic_2021_the_modernized_king_s_indian_mar_del_plata_thinkers.epub|782
pavlovic_2024_the_modernized_london_system_thinkers.epub|723
pavlovic_2025_the_modernized_petrov_s_defense_thinkers.epub|597
pavlovic_2024_the_modernized_semislav_thinkers.epub|461
ramesh_0000_improve_your_chess_calculation.epub|485
rudolf_2015_the_art_of_sacrifice_in_chess_21st_century_edition_russell_enterprises_inc.epub|721
willemze_0000_chess_endgame_exercises_for_beginners.epub|1252
willemze_0000_what_would_you_play.epub|773
yasser_2012_play_winning_chess_everyman_chess.epub|270
zlotnik_0000_zlotnik_s_treasure_trove.epub|456
znoskoborovsky_1959_how_not_to_play_chess_dover.epub|82
