Scanning 944 books for non-RAG-worthy content...
================================================================================

================================================================================
AUTOBIOGRAPHICAL (9 books)
================================================================================
  843 diagrams | Keyword: best_games            | karolyi_0000_boris_spassky_s_best_games_2_world_champion.epub
  705 diagrams | Keyword: best_games            | karolyi_0000_boris_spassky_s_best_games_1_the_rising_star.epub
  623 diagrams | Keyword: best_games            | alekhine_2013_my_best_games_of_chess_russell_enterprises_inc.epub
  623 diagrams | Keyword: best_games            | alexander_1908_my_best_games_of_chess_russell_enterprises_inc.epub
  571 diagrams | Keyword: best_games            | timman_2023_max_euwe_s_best_games_nic.epub
  505 diagrams | Keyword: best_games            | kuljasevic_0000_ding_liren_s_best_games.epub
  303 diagrams | Keyword: memoir                | lubomir_2022_life_at_play_a_chess_memoir_new_in_chess.epub
  270 diagrams | Keyword: selected_games        | kryakvin_2018_the_chelyabinsk_meteorite_selected_games_of_igor_kurnosov_elkruby_barsky_vladimir.epub
    0 diagrams | Keyword: career                | grandmaster_2020_a_chess_prodigy’s_career_in_64_games_jakov_geller.epub

================================================================================
BEGINNER BOOKS (22 books)
================================================================================
 2062 diagrams | Contains 'beginner' in title   | unknown_author_0000_chess_exercises_for_beginners_the_tactics_workbook_that_explains.epub
 2062 diagrams | Contains 'beginner' in title   | unknown_author_2019_franco_masetti_roberto_messa_chess_exercises_for_beginners_new_in_chess.epub
 2034 diagrams | Contains 'beginner' in title   | unknown_author_2019_franco_masetti_roberto_messa_richard_jones_chess_exercises_for_beginners_the_tactics_workbook_that_explains_the_basic_concepts_too_new_in_chess.epub
 2007 diagrams | Contains 'beginner' in title   | geller_2000_check_and_mate_a_beginners_guide_with_examples.epub
 2002 diagrams | Contains 'beginner' in title   | cicero_2019_checkmate_exercises_from_beginner_to_winner2.epub
 2001 diagrams | Contains 'beginner' in title   | cicero_2018_checkmate_exercises_from_beginner_to_winner1.epub
 1260 diagrams | Contains 'beginner' in title   | willemze_2022_chess_endgame_exercises_for_beginners_nic.epub
 1194 diagrams | Contains 'beginner' in title   | curtis_0000_chess_4_books_in_1_getting_started_from_a_beginner_learn_successful_openings_develop_advanced_strategy_and_win_your_games.epub
 1076 diagrams | Contains 'beginner' in title   | levy_2023_how_to_win_at_chess_the_ultimate_guide_for_beginners_and_beyond_ten_speed_press.epub
  750 diagrams | Contains 'beginner' in title   | alberston_2007_51_chess_openings_for_beginners_cardoza.epub
  528 diagrams | Contains 'beginner' in title   | srokovski_0000_chess_training_for_postbeginners.epub
  528 diagrams | Contains 'beginner' in title   | yaroslav_2014_chess_training_for_postbeginners_new_in_chess.epub
  475 diagrams | Contains 'beginner' in title   | unknown_author_2018_arthur_van_de_oudeweeterig_chess_pattern_recognition_for_beginners_new_in_chess.epub
  475 diagrams | Contains 'beginner' in title   | unknown_author_2018_international_master_arthur_van_de_oudeweetering_chess_pattern_recognition_for_beginners_the_fundamental_guide_to_spotting_key_moves_in_the_middlegame_new_in_chess.epub
  467 diagrams | Contains 'beginner' in title   | vincent_2016_my_first_chess_opening_repertoire_for_white_a_turnkey_package_for_ambitious_beginners_new_in.epub
  151 diagrams | Contains 'beginner' in title   | unknown_author_0000_henry_bird_edward_lasker_josé_raul_capablanca_chess_strategy_a_complete_guide_for_beginners_to_chess_fundamentals.epub
  100 diagrams | Contains 'beginner' in title   | cicero_2017_checkmate_exercises_for_beginners_sampler_edition.epub
   92 diagrams | Contains 'beginner' in title   | unknown_author_0000_chess_the_ultimate_guide_for_beginners_a_comprehensive_and_simplified.epub
   89 diagrams | Contains 'beginner' in title   | lars_0000_chess_for_beginners_the_ultimate_guide_to_understanding_chess.epub
   23 diagrams | Contains 'beginner' in title   | tommy_0000_chess_openings_for_beginners_the_complete_manual_to_learn_the_fundamentals_the_strategy_and_the_best_moves_at_the_start_of_the_game.epub
    0 diagrams | Contains 'beginner' in title   | ingram_2016_chess_the_complete_beginner_s_guide_createspace_independent.epub
    0 diagrams | Contains 'beginner' in title   | jack_0000_chess_for_beginners_learn_the_wonderful_game_of_the_chess_board_with_strategies_rules_and_techniques_to_win_easily.epub

================================================================================
BIOGRAPHY (38 books)
================================================================================
13032 diagrams | Keyword: fischer_              | fischer_2008_my_60_memorable_games_chess_tactics_chess_strategies_with_bobby_fischer_pavilion_books.epub
 4892 diagrams | Keyword: lasker_               | lasker_0000_chess_secrets_i_learned_from_the_masters_pavilion_books_mckay.epub
 1594 diagrams | Keyword: alekhine_             | bauer_0000_the_modernized_alekhine_defense.epub
  991 diagrams | Keyword: fischer_              | unknown_author_1972_fischer_–_spassky_match_of_the_century_revisited_by_tibor_karolyi.epub
  819 diagrams | Keyword: kasparov_on           | garry_2011_garry_kasparov_on_my_great_predecessors_part_2_everyman_chess.epub
  801 diagrams | Keyword: morphy_               | bogdanov_0000_rook_endgames_from_morphy_to_carlsen.epub
  749 diagrams | Keyword: kasparov_on           | garry_1985_garry_kasparov_on_garry_kasparov_part_2_everyman_chess.epub
  720 diagrams | Keyword: kasparov_on           | garry_2011_garry_kasparov_on_my_great_predecessors_part_1_everyman_chess.epub
